source_email,to,from,subject,body,serial_number,item_name,item_description,item_specification,item_quantity,item_deadline
"To: machining.cell@factory.example.com
From: planning.officer+11@factory.example.com
Subject: Chain Sprocket Batch SN-0011

Hi team,

This email covers Serial Number SN-0011 related to the item named ""Chain Sprocket CS-11"". The item description is: drive sprocket used in the roller chain transmission of the secondary conveyor. Please follow the item specification of: Pitch=1 inch; Teeth=24; Bore=30mm; Material=C45 Steel. The confirmed item quantity is 55 units, and the item deadline is 2026-03-11 as per the project Gantt chart.

Thanks,
Planning",machining.cell@factory.example.com,planning.officer+11@factory.example.com,Chain Sprocket Batch SN-0011,"Hi team,

This email covers Serial Number SN-0011 related to the item named ""Chain Sprocket CS-11"". The item description is: drive sprocket used in the roller chain transmission of the secondary conveyor. Please follow the item specification of: Pitch=1 inch; Teeth=24; Bore=30mm; Material=C45 Steel. The confirmed item quantity is 55 units, and the item deadline is 2026-03-11 as per the project Gantt chart.

Thanks,
Planning",SN-0011,Chain Sprocket CS-11,"drive sprocket used in the roller chain transmission of the secondary conveyor. Please follow the item specification of: Pitch=1 inch; Teeth=24; Bore=30mm; Material=C45 Steel. The confirmed item quantity is 55 units, and the item deadline is 2026-03-11 as per the project Gantt chart.",,55,2026-03-11
"To: procurement.support@factory.example.com
From: planning.officer+12@factory.example.com
Subject: Roller Chain Cutting SN-0012

Team,

We have created Serial Number SN-0012 for the item named ""Roller Chain RC-12"". The item description is: heavy-duty roller chain intended for the conveyor drive system. Kindly ensure the item specification is respected: Pitch=1 inch; Strand=Simplex; Length=30m; Standard=ISO. The required item quantity is 10 units (cut lengths), and the item deadline is 2026-03-12, so please coordinate with stores.

Regards,
Planning Office",procurement.support@factory.example.com,planning.officer+12@factory.example.com,Roller Chain Cutting SN-0012,"Team,

We have created Serial Number SN-0012 for the item named ""Roller Chain RC-12"". The item description is: heavy-duty roller chain intended for the conveyor drive system. Kindly ensure the item specification is respected: Pitch=1 inch; Strand=Simplex; Length=30m; Standard=ISO. The required item quantity is 10 units (cut lengths), and the item deadline is 2026-03-12, so please coordinate with stores.

Regards,
Planning Office",SN-0012,Roller Chain RC-12,"heavy-duty roller chain intended for the conveyor drive system. Kindly ensure the item specification is respected: Pitch=1 inch; Strand=Simplex; Length=30m; Standard=ISO. The required item quantity is 10 units (cut lengths), and the item deadline is 2026-03-12, so please coordinate with stores.",,10,2026-03-12
"To: electrical.shop@factory.example.com
From: planning.officer+13@factory.example.com
Subject: Junction Boxes for Field Wiring SN-0013

Hello Electrical Team,

This is to notify you about Serial Number SN-0013 for the item named ""Electrical Junction Box EJ-13"". The item description is: IP-rated junction box used for field wiring terminations along the process line. The approved item specification is: Size=200x200x120mm; Material=Polycarbonate; IP=IP65; Entries=6. Please arrange an item quantity of 80 units, keeping in mind that the item deadline is 2026-03-13.

Thanks,
Planning",electrical.shop@factory.example.com,planning.officer+13@factory.example.com,Junction Boxes for Field Wiring SN-0013,"Hello Electrical Team,

This is to notify you about Serial Number SN-0013 for the item named ""Electrical Junction Box EJ-13"". The item description is: IP-rated junction box used for field wiring terminations along the process line. The approved item specification is: Size=200x200x120mm; Material=Polycarbonate; IP=IP65; Entries=6. Please arrange an item quantity of 80 units, keeping in mind that the item deadline is 2026-03-13.

Thanks,
Planning",SN-0013,Electrical Junction Box EJ-13,"IP-rated junction box used for field wiring terminations along the process line. The approved item specification is: Size=200x200x120mm; Material=Polycarbonate; IP=IP65; Entries=6. Please arrange an item quantity of 80 units, keeping in mind that the item deadline is 2026-03-13.","Size=200x200x120mm; Material=Polycarbonate; IP=IP65; Entries=6. Please arrange an item quantity of 80 units, keeping in mind that the item deadline is 2026-03-13.",,2026-03-13
"To: sensors.cell@factory.example.com
From: planning.officer+14@factory.example.com
Subject: Inductive Proximity Sensors SN-0014

Hi team,

For the new conveyor positions we have Serial Number SN-0014 covering the item named ""Inductive Proximity Sensor IPS-14"". The item description is: metal-sensing inductive sensor used for position feedback and counting. The required item specification is: Type=M18; Range=8mm; Output=NPN NO; Voltage=10-30VDC. Please supply an item quantity of 90 units, noting that the item deadline is 2026-03-14.

Regards,
Planning Dept.",sensors.cell@factory.example.com,planning.officer+14@factory.example.com,Inductive Proximity Sensors SN-0014,"Hi team,

For the new conveyor positions we have Serial Number SN-0014 covering the item named ""Inductive Proximity Sensor IPS-14"". The item description is: metal-sensing inductive sensor used for position feedback and counting. The required item specification is: Type=M18; Range=8mm; Output=NPN NO; Voltage=10-30VDC. Please supply an item quantity of 90 units, noting that the item deadline is 2026-03-14.

Regards,
Planning Dept.",SN-0014,Inductive Proximity Sensor IPS-14,"metal-sensing inductive sensor used for position feedback and counting. The required item specification is: Type=M18; Range=8mm; Output=NPN NO; Voltage=10-30VDC. Please supply an item quantity of 90 units, noting that the item deadline is 2026-03-14.","Type=M18; Range=8mm; Output=NPN NO; Voltage=10-30VDC. Please supply an item quantity of 90 units, noting that the item deadline is 2026-03-14.",,2026-03-14
"To: harness.shop@factory.example.com
From: planning.officer+15@factory.example.com
Subject: Cable Harness Sets SN-0015

Hi,

Kindly plan Serial Number SN-0015 for the item named ""Cable Harness CH-15"". The item description is: pre-terminated cable harness used for internal control panel wiring. The agreed item specification is: Cores=24; Length=6m; Conductor=1.5sqmm; Jacket=PVC. We will need an item quantity of 45 units, and the item deadline is 2026-03-15, which should align with panel assembly.

Best,
Planning",harness.shop@factory.example.com,planning.officer+15@factory.example.com,Cable Harness Sets SN-0015,"Hi,

Kindly plan Serial Number SN-0015 for the item named ""Cable Harness CH-15"". The item description is: pre-terminated cable harness used for internal control panel wiring. The agreed item specification is: Cores=24; Length=6m; Conductor=1.5sqmm; Jacket=PVC. We will need an item quantity of 45 units, and the item deadline is 2026-03-15, which should align with panel assembly.

Best,
Planning",SN-0015,Cable Harness CH-15,"pre-terminated cable harness used for internal control panel wiring. The agreed item specification is: Cores=24; Length=6m; Conductor=1.5sqmm; Jacket=PVC. We will need an item quantity of 45 units, and the item deadline is 2026-03-15, which should align with panel assembly.","Cores=24; Length=6m; Conductor=1.5sqmm; Jacket=PVC. We will need an item quantity of 45 units, and the item deadline is 2026-03-15, which should align with panel assembly.",,2026-03-15
"To: electrical.shop@factory.example.com
From: planning.officer+16@factory.example.com
Subject: Power Distribution Boards SN-0016

Dear Team,

We have opened Serial Number SN-0016 for the item named ""Power Distribution Board PDB-16"". The item description is: floor-mounted distribution board for plant utility loads. The item specification is as follows: Incomer=250A MCCB; Outgoing=16 Ways; Voltage=415VAC; IP=IP42. Please manufacture an item quantity of 4 units, ensuring that the item deadline is 2026-03-16.

Regards,
Planning Office",electrical.shop@factory.example.com,planning.officer+16@factory.example.com,Power Distribution Boards SN-0016,"Dear Team,

We have opened Serial Number SN-0016 for the item named ""Power Distribution Board PDB-16"". The item description is: floor-mounted distribution board for plant utility loads. The item specification is as follows: Incomer=250A MCCB; Outgoing=16 Ways; Voltage=415VAC; IP=IP42. Please manufacture an item quantity of 4 units, ensuring that the item deadline is 2026-03-16.

Regards,
Planning Office",SN-0016,Power Distribution Board PDB-16,"floor-mounted distribution board for plant utility loads. The item specification is as follows: Incomer=250A MCCB; Outgoing=16 Ways; Voltage=415VAC; IP=IP42. Please manufacture an item quantity of 4 units, ensuring that the item deadline is 2026-03-16.",,,2026-03-16
"To: instrumentation.cell@factory.example.com
From: planning.officer+17@factory.example.com
Subject: Electromagnetic Flow Meters SN-0017

Hello,

This note confirms Serial Number SN-0017 for the item named ""Electromagnetic Flow Meter FM-17"". The item description is: inline flow meter used for the water dosing system in the process area. Please stick to the item specification: Line Size=DN50; Range=0.5-25m3/h; Output=4-20mA; Supply=230VAC. The planned item quantity is 7 units, and the item deadline is 2026-03-17.

Thanks,
Planning",instrumentation.cell@factory.example.com,planning.officer+17@factory.example.com,Electromagnetic Flow Meters SN-0017,"Hello,

This note confirms Serial Number SN-0017 for the item named ""Electromagnetic Flow Meter FM-17"". The item description is: inline flow meter used for the water dosing system in the process area. Please stick to the item specification: Line Size=DN50; Range=0.5-25m3/h; Output=4-20mA; Supply=230VAC. The planned item quantity is 7 units, and the item deadline is 2026-03-17.

Thanks,
Planning",SN-0017,Electromagnetic Flow Meter FM-17,"inline flow meter used for the water dosing system in the process area. Please stick to the item specification: Line Size=DN50; Range=0.5-25m3/h; Output=4-20mA; Supply=230VAC. The planned item quantity is 7 units, and the item deadline is 2026-03-17.",,7,2026-03-17
"To: instrumentation.cell@factory.example.com
From: planning.officer+18@factory.example.com
Subject: Pressure Transmitters SN-0018

Hi instrumentation team,

We are raising Serial Number SN-0018 for the item named ""Pressure Transmitter PT-18"". The item description is: transmitter for monitoring line pressure in the utility pipelines. The specified item specification is: Range=0-16bar; Output=4-20mA; Process=1/2 inch NPT; Accuracy=0.5%FS. An item quantity of 22 units is required, and the item deadline is 2026-03-18 as per the utility schedule.

Best regards,
Planning",instrumentation.cell@factory.example.com,planning.officer+18@factory.example.com,Pressure Transmitters SN-0018,"Hi instrumentation team,

We are raising Serial Number SN-0018 for the item named ""Pressure Transmitter PT-18"". The item description is: transmitter for monitoring line pressure in the utility pipelines. The specified item specification is: Range=0-16bar; Output=4-20mA; Process=1/2 inch NPT; Accuracy=0.5%FS. An item quantity of 22 units is required, and the item deadline is 2026-03-18 as per the utility schedule.

Best regards,
Planning",SN-0018,Pressure Transmitter PT-18,"transmitter for monitoring line pressure in the utility pipelines. The specified item specification is: Range=0-16bar; Output=4-20mA; Process=1/2 inch NPT; Accuracy=0.5%FS. An item quantity of 22 units is required, and the item deadline is 2026-03-18 as per the utility schedule.","Range=0-16bar; Output=4-20mA; Process=1/2 inch NPT; Accuracy=0.5%FS. An item quantity of 22 units is required, and the item deadline is 2026-03-18 as per the utility schedule.",,2026-03-18
"To: instrumentation.cell@factory.example.com
From: planning.officer+19@factory.example.com
Subject: Level Sensors for Tanks SN-0019

Team,

Please note Serial Number SN-0019 for the item named ""Level Sensor LS-19"". The item description is: vertical float level sensor used in storage tanks for high/low indication. The agreed item specification is: Mounting=Top; Contacts=2; Material=SS304; Length=1200mm. We need an item quantity of 28 units, and the item deadline is 2026-03-19.

Regards,
Planning",instrumentation.cell@factory.example.com,planning.officer+19@factory.example.com,Level Sensors for Tanks SN-0019,"Team,

Please note Serial Number SN-0019 for the item named ""Level Sensor LS-19"". The item description is: vertical float level sensor used in storage tanks for high/low indication. The agreed item specification is: Mounting=Top; Contacts=2; Material=SS304; Length=1200mm. We need an item quantity of 28 units, and the item deadline is 2026-03-19.

Regards,
Planning",SN-0019,Level Sensor LS-19,"vertical float level sensor used in storage tanks for high/low indication. The agreed item specification is: Mounting=Top; Contacts=2; Material=SS304; Length=1200mm. We need an item quantity of 28 units, and the item deadline is 2026-03-19.","Mounting=Top; Contacts=2; Material=SS304; Length=1200mm. We need an item quantity of 28 units, and the item deadline is 2026-03-19.",,2026-03-19
"To: fabrication.shop@factory.example.com
From: planning.officer+20@factory.example.com
Subject: Hopper Assemblies SN-0020

Hi Fabrication,

Under Serial Number SN-0020 we have the item named ""Hopper Assembly HA-20"". The item description is: mild steel hopper used for granular material feeding into screw conveyors. Please ensure the item specification is: Capacity=500L; Wall=3mm; Finish=Epoxy Painted; Inlet=300mm. The required item quantity is 5 units, and the item deadline is 2026-03-20.

Thanks,
Planning",fabrication.shop@factory.example.com,planning.officer+20@factory.example.com,Hopper Assemblies SN-0020,"Hi Fabrication,

Under Serial Number SN-0020 we have the item named ""Hopper Assembly HA-20"". The item description is: mild steel hopper used for granular material feeding into screw conveyors. Please ensure the item specification is: Capacity=500L; Wall=3mm; Finish=Epoxy Painted; Inlet=300mm. The required item quantity is 5 units, and the item deadline is 2026-03-20.

Thanks,
Planning",SN-0020,Hopper Assembly HA-20,"mild steel hopper used for granular material feeding into screw conveyors. Please ensure the item specification is: Capacity=500L; Wall=3mm; Finish=Epoxy Painted; Inlet=300mm. The required item quantity is 5 units, and the item deadline is 2026-03-20.","Capacity=500L; Wall=3mm; Finish=Epoxy Painted; Inlet=300mm. The required item quantity is 5 units, and the item deadline is 2026-03-20.",5,2026-03-20
"To: machining.cell@factory.example.com
From: planning.officer+21@factory.example.com
Subject: Feeder Screws SN-0021

Hello team,

This communication is for Serial Number SN-0021 associated with the item named ""Feeder Screw FS-21"". The item description is: screw feeder used for controlled discharge of material from the hopper. The precise item specification is: Diameter=150mm; Pitch=150mm; Length=2200mm; Material=SS304. Please produce an item quantity of 8 units, and remember that the item deadline is 2026-03-21.

Regards,
Planning Dept.",machining.cell@factory.example.com,planning.officer+21@factory.example.com,Feeder Screws SN-0021,"Hello team,

This communication is for Serial Number SN-0021 associated with the item named ""Feeder Screw FS-21"". The item description is: screw feeder used for controlled discharge of material from the hopper. The precise item specification is: Diameter=150mm; Pitch=150mm; Length=2200mm; Material=SS304. Please produce an item quantity of 8 units, and remember that the item deadline is 2026-03-21.

Regards,
Planning Dept.",SN-0021,Feeder Screw FS-21,"screw feeder used for controlled discharge of material from the hopper. The precise item specification is: Diameter=150mm; Pitch=150mm; Length=2200mm; Material=SS304. Please produce an item quantity of 8 units, and remember that the item deadline is 2026-03-21.","Diameter=150mm; Pitch=150mm; Length=2200mm; Material=SS304. Please produce an item quantity of 8 units, and remember that the item deadline is 2026-03-21.",,2026-03-21
"To: fabrication.shop@factory.example.com
From: planning.officer+22@factory.example.com
Subject: Support Frames SN-0022

Hi,

We are scheduling Serial Number SN-0022 for the item named ""Support Frame SF-22"". The item description is: structural frame used for mounting process equipment skids. The specified item specification is: Material=MS; Section=50x50x5mm; Height=1800mm; Finish=Primer+Paint. The target item quantity is 12 units, and the item deadline is 2026-03-22.

Best,
Planning",fabrication.shop@factory.example.com,planning.officer+22@factory.example.com,Support Frames SN-0022,"Hi,

We are scheduling Serial Number SN-0022 for the item named ""Support Frame SF-22"". The item description is: structural frame used for mounting process equipment skids. The specified item specification is: Material=MS; Section=50x50x5mm; Height=1800mm; Finish=Primer+Paint. The target item quantity is 12 units, and the item deadline is 2026-03-22.

Best,
Planning",SN-0022,Support Frame SF-22,"structural frame used for mounting process equipment skids. The specified item specification is: Material=MS; Section=50x50x5mm; Height=1800mm; Finish=Primer+Paint. The target item quantity is 12 units, and the item deadline is 2026-03-22.","Material=MS; Section=50x50x5mm; Height=1800mm; Finish=Primer+Paint. The target item quantity is 12 units, and the item deadline is 2026-03-22.",12,2026-03-22
